Quatro de Fevereiro Airport,Luanda,Angola,-8.85837,13.2312,ao
Malanje Airport,Malanje,Angola,-9.52509,16.3124,ao
Menongue Airport,Menongue,Angola,-14.6576,17.7198,ao
Negage Airport,Negage,Angola,-7.75451,15.2877,ao
Porto Amboim Airport,Porto Amboim,Angola,-10.722,13.7655,ao
Saurimo Airport,Saurimo,Angola,-9.68907,20.4319,ao
Soyo Airport,Soyo,Angola,-6.14109,12.3718,ao
Lubango Airport,Lubango,Angola,-14.9247,13.575,ao
Luena Airport,Luena,Angola,-11.7681,19.8977,ao
Uige Airport,Uige,Angola,-7.60307,15.0278,ao
Xangongo Airport,Xangongo,Angola,-16.7554,14.9653,ao
Catumbela Airport,Catumbela,Angola,-12.4792,13.4869,ao
Dundo Airport,Dundo,Angola,-7.40089,20.8185,ao
Ngjiva Pereira Airport,Ondjiva,Angola,-17.0435,15.6838,ao
Namibe Airport,Mocamedes,Angola,-15.2612,12.1468,ao
Nzagi Airport,Nzagi,Angola,-7.71694,21.3582,ao
Lucapa Airport,Lucapa,Angola,-8.44573,20.7321,ao
Capanda Airport,Kapanda,Angola,-9.76937,15.4553,ao
Sumbe Airport,Sumbe,Angola,-11.1679,13.8475,ao
Clayton J Lloyd International Airport,The Valley,Anguilla,18.2048,-63.0551,ai
South Pole Station Airport,Stephen's Island,Antarctica,-90,0,aq
Williams Field,Weydon,Antarctica,-77.8674,167.057,aq
Marambio Base,Marambio Base,Antarctica,-64.2383,-56.6308,aq
Teniente Rodolfo Marsh Martin Base,Isla Rey Jorge,Antarctica,-62.1908,-58.9867,aq
Wilkins Runway,Budd Coast,Antarctica,-66.6908,111.524,aq
McMurdo Station Ice Runway,Ross Island,Antarctica,-77.854,166.469,aq
McMurdo Station Pegasus Field,McMurdo Station,Antarctica,-77.9634,166.525,aq
V.C. Bird International Airport,Antigua,Antigua and Barbuda,17.1367,-61.7927,ag
Codrington Airport,Codrington,Antigua and Barbuda,17.6358,-61.8286,ag
Comodoro Pierrestegui Airport,Concordia,Argentina,-31.2969,-57.9966,ar
Gualeguaychu Airport,Gualeguaychu,Argentina,-33.0103,-58.6131,ar
Junin Airport,Junin,Argentina,-34.5459,-60.9306,ar
General Urquiza Airport,Parana,Argentina,-31.7948,-60.4804,ar
Islas Malvinas Airport,Rosario,Argentina,-32.9036,-60.785,ar
Sauce Viejo Airport,Santa Fe,Argentina,-31.7117,-60.8117,ar
Jorge Newbery Airpark,Buenos Aires,Argentina,-34.5592,-58.4156,ar
Ingeniero Ambrosio Taravella Airport,Cordoba,Argentina,-31.3236,-64.208,ar
Chamical Airport,Gobernador Gordillo,Argentina,-30.3453,-66.2936,ar
San Fernando Airport,San Fernando,Argentina,-34.4532,-58.5896,ar
Mariano Moreno Airport,Jose C. Paz,Argentina,-34.5606,-58.7896,ar
La Plata Airport,La Plata,Argentina,-34.9722,-57.8947,ar
Moron Airport,Moron,Argentina,-34.6763,-58.6428,ar
El Palomar Airport,El Palomar,Argentina,-34.6099,-58.6126,ar
Chos Malal Airport,Chosmadal,Argentina,-37.4447,-70.2225,ar
Dr. Arturo H. Illia Airport,Fuerte Gral Roca,Argentina,-39.0007,-67.6205,ar
El Plumerillo Airport,Mendoza,Argentina,-32.8317,-68.7929,ar
Comodoro D.R. Salomón Airport,Malargue,Argentina,-35.4936,-69.5743,ar
Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,-34.5883,-68.4039,ar
Catamarca Airport,Catamarca,Argentina,-28.5956,-65.7517,ar
Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago Del Estero,Argentina,-27.7656,-64.31,ar
Tinogasta Airport,Tinogasta,Argentina,-28.0378,-67.5803,ar
Capitan V A Almonacid Airport,La Rioja,Argentina,-29.3816,-66.7958,ar
Chilecito Airport,Chilecito,Argentina,-29.2239,-67.4389,ar
Teniente Benjamin Matienzo Airport,Tucuman,Argentina,-26.8409,-65.1049,ar
Domingo Faustino Sarmiento Airport,San Juan,Argentina,-31.5715,-68.4182,ar
Area De Material Airport,Rio Cuarto,Argentina,-33.0851,-64.2613,ar
Villa Dolores Airport,Villa Dolores,Argentina,-31.9452,-65.1463,ar
La Quiaca Airport,Laboulaye,Argentina,-22.1506,-65.5775,ar
Marcos Juarez Airport,Marcos Juarez,Argentina,-32.6836,-62.1578,ar
Villa Reynolds Airport,Villa Reynolds,Argentina,-33.7299,-65.3874,ar
Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,Argentina,-33.2732,-66.3564,ar
Corrientes Airport,Corrientes,Argentina,-27.4455,-58.7619,ar
Resistencia International Airport,Resistencia,Argentina,-27.45,-59.0561,ar
Formosa Airport,Formosa,Argentina,-26.2127,-58.2281,ar
Cataratas Del Iguazú International Airport,Iguazu Falls,Argentina,-25.7373,-54.4734,ar
Paso De Los Libres Airport,Paso De Los Libres,Argentina,-29.6894,-57.1521,ar
Monte Caseros Airport,Monte Caseros,Argentina,-30.2719,-57.6402,ar
Libertador Gral D Jose De San Martin Airport,Posadas,Argentina,-27.3858,-55.9707,ar
Termal Airport,Presidencia R.s.pena,Argentina,-26.7536,-60.4922,ar
Martin Miguel De Guemes International Airport,Salta,Argentina,-24.856,-65.4862,ar
Gobernador Horacio Guzman International Airport,Jujuy,Argentina,-24.3928,-65.0978,ar
Orán Airport,Oran,Argentina,-23.1528,-64.3292,ar
Laboulaye Airport,La Quiaca,Argentina,-34.1354,-63.3623,ar
El Dorado Airport,El Dorado,Argentina,-26.3975,-54.5747,ar
Goya Airport,Goya,Argentina,-29.1058,-59.2189,ar
Oberá Airport,Obera,Argentina,-27.5182,-55.1242,ar
Reconquista Airport,Reconquista,Argentina,-29.2103,-59.68,ar
Curuzu Cuatia Airport,Curuzu Cuatia,Argentina,-29.7706,-57.9789,ar
El Bolson Airport,El Bolson,Argentina,-41.9432,-71.5323,ar
General E. Mosconi Airport,Comodoro Rivadavia,Argentina,-45.7853,-67.4655,ar
